,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
60,60,0.7333576850275418,2021-04-21 15:41:19.647183,2021-04-21 15:57:06.898283,0 days 00:15:47.251100,8192,0.06093235424996097,1e-05,0.001,190.0,COMPLETE
61,61,0.7333637456745512,2021-04-21 15:57:06.899473,2021-04-21 16:12:55.192368,0 days 00:15:48.292895,8192,0.06344652600841746,1e-05,0.001,190.0,COMPLETE
62,62,0.73335077084048,2021-04-21 16:12:55.193526,2021-04-21 16:28:31.908740,0 days 00:15:36.715214,8192,0.059380265741096644,1e-05,0.001,190.0,COMPLETE
63,63,0.7319890066399367,2021-04-21 16:28:31.910174,2021-04-21 16:43:56.216013,0 days 00:15:24.305839,8192,0.031569621581428495,1e-05,0.001,195.0,COMPLETE
64,64,0.7323055405586546,2021-04-21 16:43:56.217642,2021-04-21 16:59:25.565809,0 days 00:15:29.348167,8192,0.04835515112599982,1e-05,0.001,200.0,COMPLETE
65,65,0.7314838365248417,2021-04-21 16:59:25.567157,2021-04-21 17:15:04.458707,0 days 00:15:38.891550,8192,0.08401895087930811,1e-05,0.001,185.0,COMPLETE
66,66,0.7333885842027156,2021-04-21 17:15:04.459709,2021-04-21 17:30:18.708078,0 days 00:15:14.248369,8192,0.03956247347724237,1e-05,0.001,190.0,COMPLETE
67,67,0.7333908551831555,2021-04-21 17:30:18.709258,2021-04-21 17:45:32.991738,0 days 00:15:14.282480,8192,0.04059493528891964,1e-05,0.001,190.0,COMPLETE
68,68,0.7249938178581002,2021-04-21 17:45:32.992598,2021-04-21 18:07:47.964010,0 days 00:22:14.971412,2048,0.039761472829947984,1e-05,0.001,190.0,COMPLETE
69,69,0.732041850509283,2021-04-21 18:07:47.965460,2021-04-21 18:22:50.469529,0 days 00:15:02.504069,8192,0.05752879011501934,1e-05,0.001,195.0,COMPLETE
70,70,0.645616815255772,2021-04-21 18:22:50.470587,2021-04-21 18:25:09.870048,0 days 00:02:19.399461,8192,0.05190949651989712,1e-05,0.05,190.0,COMPLETE
71,71,0.7308779230517187,2021-04-21 18:25:09.871100,2021-04-21 18:40:56.391895,0 days 00:15:46.520795,8192,0.045662811977709515,1e-05,0.001,175.0,COMPLETE
72,72,0.7189680006655255,2021-04-21 18:40:56.392909,2021-04-21 18:55:41.422981,0 days 00:14:45.030072,8192,0.6523740429267147,1e-05,0.001,180.0,COMPLETE
73,73,0.7322584369384001,2021-04-21 18:55:41.424138,2021-04-21 19:10:55.947141,0 days 00:15:14.523003,8192,0.040489880687605014,1e-05,0.001,200.0,COMPLETE
74,74,0.7311771080639942,2021-04-21 19:10:55.948303,2021-04-21 19:26:15.567197,0 days 00:15:19.618894,8192,0.034566923609255056,1e-05,0.001,185.0,COMPLETE
75,75,0.7305496164319163,2021-04-21 19:26:15.568148,2021-04-21 19:42:08.198974,0 days 00:15:52.630826,8192,0.04816836993928589,1e-05,0.001,175.0,COMPLETE
76,76,0.6876182780952628,2021-04-21 19:42:08.199969,2021-04-21 19:49:37.108011,0 days 00:07:28.908042,4096,0.07038165986747255,1e-05,0.01,190.0,COMPLETE
77,77,0.7219860747170405,2021-04-21 19:49:37.108921,2021-04-21 19:56:31.384799,0 days 00:06:54.275878,8192,0.06102186596566905,1e-05,0.005,165.0,COMPLETE
78,78,0.7319944200831525,2021-04-21 19:56:31.385929,2021-04-21 20:10:58.757049,0 days 00:14:27.371120,8192,0.03641794555446373,1e-05,0.001,195.0,COMPLETE
79,79,0.6268685926952596,2021-04-21 20:10:58.758006,2021-04-21 20:12:51.165198,0 days 00:01:52.407192,16384,0.30497895591956026,1e-05,0.1,180.0,COMPLETE
80,80,0.7322627969132629,2021-04-21 20:12:51.166125,2021-04-21 20:27:22.084931,0 days 00:14:30.918806,8192,0.04128873460098425,1e-05,0.001,200.0,COMPLETE
81,81,0.7318024197086407,2021-04-21 20:27:22.085856,2021-04-21 20:42:40.523074,0 days 00:15:18.437218,8192,0.03134013842249811,0.1,0.001,170.0,COMPLETE
82,82,0.7309357023305878,2021-04-21 20:42:40.524088,2021-04-21 20:58:40.406968,0 days 00:15:59.882880,8192,0.03349647841832943,0.01,0.001,145.0,COMPLETE
83,83,0.7312146612631207,2021-04-21 20:58:40.407941,2021-04-21 21:12:47.828804,0 days 00:14:07.420863,8192,0.04635980026986377,1e-05,0.001,185.0,COMPLETE
84,84,0.7306712856187391,2021-04-21 21:12:47.829748,2021-04-21 21:27:37.551103,0 days 00:14:49.721355,8192,0.05326936561138827,0.001,0.001,175.0,COMPLETE
85,85,0.7319950237128293,2021-04-21 21:27:37.552154,2021-04-21 21:42:02.413788,0 days 00:14:24.861634,8192,0.03760529257255886,1e-05,0.001,195.0,COMPLETE
86,86,0.7248408304156275,2021-04-21 21:42:02.414681,2021-04-21 21:58:10.902148,0 days 00:16:08.487467,8192,0.04209444624650636,1.0,0.001,180.0,COMPLETE
87,87,0.7331596316955706,2021-04-21 21:58:10.903074,2021-04-21 22:12:57.049257,0 days 00:14:46.146183,8192,0.05053295597587824,1e-05,0.001,170.0,COMPLETE
88,88,0.7252213529248578,2021-04-21 22:12:57.050289,2021-04-21 22:35:53.127065,0 days 00:22:56.076776,2048,0.059374469876288756,1e-05,0.001,170.0,COMPLETE
89,89,0.7310192787681907,2021-04-21 22:35:53.128035,2021-04-21 22:55:43.352634,0 days 00:19:50.224599,8192,0.10043919050209352,1e-05,0.001,85.0,COMPLETE
90,90,0.7314626133667796,2021-04-21 22:55:43.353636,2021-04-21 23:10:44.874355,0 days 00:15:01.520719,8192,0.05207113539560466,1e-05,0.001,165.0,COMPLETE
91,91,0.7333195358882885,2021-04-21 23:10:44.875247,2021-04-21 23:25:25.141700,0 days 00:14:40.266453,8192,0.04621096465176025,1e-05,0.001,190.0,COMPLETE
92,92,0.7333601892576658,2021-04-21 23:25:25.142623,2021-04-21 23:40:07.775517,0 days 00:14:42.632894,8192,0.06554700112960174,1e-05,0.001,190.0,COMPLETE
93,93,0.7333683158304479,2021-04-21 23:40:07.776407,2021-04-21 23:55:02.481751,0 days 00:14:54.705344,8192,0.06700290346753617,1e-05,0.001,190.0,COMPLETE
94,94,0.733371632589691,2021-04-21 23:55:02.482648,2021-04-22 00:09:52.587643,0 days 00:14:50.104995,8192,0.06443864081992073,1e-05,0.001,190.0,COMPLETE
95,95,0.733386432410301,2021-04-22 00:09:52.588638,2021-04-22 00:24:36.371168,0 days 00:14:43.782530,8192,0.07515797430928454,1e-05,0.001,190.0,COMPLETE
96,96,0.7333645095031868,2021-04-22 00:24:36.372076,2021-04-22 00:39:18.824531,0 days 00:14:42.452455,8192,0.06712706213726215,1e-05,0.001,190.0,COMPLETE
97,97,0.6552026429167976,2021-04-22 00:39:18.825474,2021-04-22 00:41:36.198181,0 days 00:02:17.372707,8192,0.07796011865923264,1e-05,0.05,200.0,COMPLETE
98,98,0.7313224059564444,2021-04-22 00:41:36.199191,2021-04-22 00:56:13.337640,0 days 00:14:37.138449,8192,0.08910029930219035,1e-05,0.001,185.0,COMPLETE
99,99,0.7309824906792913,2021-04-22 00:56:13.338541,2021-04-22 01:09:38.631631,0 days 00:13:25.293090,16384,0.06542164383939272,1e-05,0.001,195.0,COMPLETE
