,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
80,80,0.683171053753174,2021-04-18 01:18:30.183288,2021-04-18 01:19:11.004906,0 days 00:00:40.821618,2048,0.056272490002753764,0.1,0.1,115.0,COMPLETE
81,81,0.7771792412887087,2021-04-18 01:19:11.005766,2021-04-18 01:22:37.569292,0 days 00:03:26.563526,2048,0.031101850581825772,0.1,0.005,155.0,COMPLETE
82,82,0.774621131769298,2021-04-18 01:22:37.570353,2021-04-18 01:25:37.345615,0 days 00:02:59.775262,2048,0.034513454370186845,0.1,0.005,160.0,COMPLETE
83,83,0.7771791989961836,2021-04-18 01:25:37.346648,2021-04-18 01:29:03.014676,0 days 00:03:25.668028,2048,0.030935156543101132,0.1,0.005,155.0,COMPLETE
84,84,0.7737962327274508,2021-04-18 01:29:03.015757,2021-04-18 01:32:02.284610,0 days 00:02:59.268853,2048,0.04204684292601964,0.1,0.005,140.0,COMPLETE
85,85,0.7771801114894529,2021-04-18 01:32:02.285650,2021-04-18 01:35:28.579399,0 days 00:03:26.293749,2048,0.03410847040001482,0.1,0.005,155.0,COMPLETE
86,86,0.7672810743585023,2021-04-18 01:35:28.580441,2021-04-18 01:37:38.103729,0 days 00:02:09.523288,2048,0.4157174920762424,0.1,0.005,145.0,COMPLETE
87,87,0.7747071701444997,2021-04-18 01:37:38.104780,2021-04-18 01:39:38.268178,0 days 00:02:00.163398,8192,0.0356186378608246,0.1,0.005,155.0,COMPLETE
88,88,0.5004963514828108,2021-04-18 01:39:38.269207,2021-04-18 01:40:00.131111,0 days 00:00:21.861904,2048,0.04227280186998399,0.1,0.005,150.0,COMPLETE
89,89,0.4999486978854332,2021-04-18 01:40:00.132414,2021-04-18 01:40:21.927364,0 days 00:00:21.794950,1024,0.030990483864565203,1e-05,0.01,130.0,COMPLETE
90,90,0.7732671352958692,2021-04-18 01:40:21.928418,2021-04-18 01:42:29.574153,0 days 00:02:07.645735,4096,0.04903782165162986,0.1,0.005,140.0,COMPLETE
91,91,0.777179803907452,2021-04-18 01:42:29.575197,2021-04-18 01:45:55.271577,0 days 00:03:25.696380,2048,0.03286635756142814,0.1,0.005,155.0,COMPLETE
92,92,0.7746184596506652,2021-04-18 01:45:55.272625,2021-04-18 01:48:55.100467,0 days 00:02:59.827842,2048,0.0389160844128847,0.1,0.005,160.0,COMPLETE
93,93,0.5004963540459941,2021-04-18 01:48:55.101548,2021-04-18 01:49:16.853982,0 days 00:00:21.752434,2048,0.0332130172360285,0.1,0.005,150.0,COMPLETE
94,94,0.7758065220425667,2021-04-18 01:49:16.854994,2021-04-18 01:52:17.955137,0 days 00:03:01.100143,2048,0.04612071953849039,0.1,0.005,170.0,COMPLETE
95,95,0.7746194105916846,2021-04-18 01:52:17.956219,2021-04-18 01:55:18.787946,0 days 00:03:00.831727,2048,0.03594359806442355,0.1,0.005,160.0,COMPLETE
96,96,0.7672499124570362,2021-04-18 01:55:18.789010,2021-04-18 01:58:11.709563,0 days 00:02:52.920553,2048,0.04029674268446831,0.001,0.005,155.0,COMPLETE
97,97,0.7758232314347656,2021-04-18 01:58:11.710633,2021-04-18 02:01:38.270905,0 days 00:03:26.560272,2048,0.03246245459957386,0.1,0.005,145.0,COMPLETE
98,98,0.7171700698086059,2021-04-18 02:01:38.272031,2021-04-18 02:02:19.590275,0 days 00:00:41.318244,2048,0.052770775665274924,0.1,0.05,175.0,COMPLETE
99,99,0.7737970362854282,2021-04-18 02:02:19.591339,2021-04-18 02:05:20.479716,0 days 00:03:00.888377,2048,0.03777769964028242,0.1,0.005,140.0,COMPLETE
