,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
84,84,0.756768789205299,2021-04-18 00:13:35.177307,2021-04-18 00:15:23.501479,0 days 00:01:48.324172,0.11383927640135993,8192,0.05690916749887011,1e-05,0.01,90.0,COMPLETE
85,85,0.7567704219530871,2021-04-18 00:15:23.502791,2021-04-18 00:17:11.373517,0 days 00:01:47.870726,0.11374587556055542,8192,0.05720465834592808,1e-05,0.01,90.0,COMPLETE
86,86,0.7422761827794148,2021-04-18 00:17:11.374947,2021-04-18 00:20:06.079863,0 days 00:02:54.704916,0.11118523652132507,1024,0.06916145516795441,1e-05,0.01,85.0,COMPLETE
87,87,0.4968332856649583,2021-04-18 00:20:06.081184,2021-04-18 00:20:28.489205,0 days 00:00:22.408021,0.10247252112034427,8192,0.06190938771696678,1e-05,0.01,95.0,COMPLETE
88,88,0.7568652687078397,2021-04-18 00:20:28.490133,2021-04-18 00:22:18.030303,0 days 00:01:49.540170,0.10837520239031309,8192,0.05847556588264678,1e-05,0.01,90.0,COMPLETE
89,89,0.7279067027100825,2021-04-18 00:22:18.031225,2021-04-18 00:22:54.666522,0 days 00:00:36.635297,0.10018255212850519,8192,0.059568181711404544,1e-05,0.05,100.0,COMPLETE
90,90,0.501378995200552,2021-04-18 00:22:54.667431,2021-04-18 00:23:21.817304,0 days 00:00:27.149873,0.10782286652668262,8192,0.05549050584245328,0.01,0.01,85.0,COMPLETE
91,91,0.7569359074775297,2021-04-18 00:23:21.818247,2021-04-18 00:25:09.830676,0 days 00:01:48.012429,0.1042900149272852,8192,0.05884061559911217,1e-05,0.01,90.0,COMPLETE
92,92,0.49683290887700726,2021-04-18 00:25:09.832225,2021-04-18 00:25:31.805447,0 days 00:00:21.973222,0.10512657990069435,8192,0.0655429560408932,1e-05,0.01,95.0,COMPLETE
93,93,0.49890005985135627,2021-04-18 00:25:31.806426,2021-04-18 00:25:53.756936,0 days 00:00:21.950510,0.10835268165589756,8192,0.05332024571336828,1e-05,0.01,80.0,COMPLETE
94,94,0.75566138762995,2021-04-18 00:25:53.758216,2021-04-18 00:27:41.105892,0 days 00:01:47.347676,0.168218665855049,8192,0.04914541968002586,1e-05,0.01,90.0,COMPLETE
95,95,0.756961107414545,2021-04-18 00:27:41.107199,2021-04-18 00:29:27.813429,0 days 00:01:46.706230,0.102836172103793,8192,0.05816812951461797,1e-05,0.01,90.0,COMPLETE
96,96,0.5978500033516185,2021-04-18 00:29:27.814755,2021-04-18 00:30:07.785635,0 days 00:00:39.970880,0.10303500258031688,8192,0.0681541647691865,0.0001,0.01,80.0,COMPLETE
97,97,0.7562442439873307,2021-04-18 00:30:07.786585,2021-04-18 00:31:55.512509,0 days 00:01:47.725924,0.10526302642410786,8192,0.07288820015415114,1e-05,0.01,85.0,COMPLETE
98,98,0.49683365860813444,2021-04-18 00:31:55.513820,2021-04-18 00:32:17.720242,0 days 00:00:22.206422,0.1015572231203097,8192,0.06442492534889653,1e-05,0.01,95.0,COMPLETE
99,99,0.7558706164412873,2021-04-18 00:32:17.721275,2021-04-18 00:34:05.467342,0 days 00:01:47.746067,0.10885629069857973,16384,0.05903606578216361,1e-05,0.01,85.0,COMPLETE
